__Recipe,RECIPE NAME:,,Noe Tataki
NOE Tataki,MENU CATEGORY:,,Cold Entrees,,1
NOE Tataki,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
NOE Tataki,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
NOE Tataki,1.16,Oz(w),22.8,LB,Salmon noruego,0.71875,Oz(w),0.83375,Oz(w),0.83375
NOE Tataki,1.16,Oz(w),20,LB,Tuna,0.746875,Oz(w),0.8663749999999999,Oz(w),0.8663749999999999
NOE Tataki,1.16,Oz(w),17.25,LB,pesca blanca,0.8093840579710144,Oz(w),0.9388855072463766,Oz(w),0.9388855072463766
NOE Tataki,1.41,Oz(w),64,LB,Tenderloin,0.75,Oz(w),1.0574999999999999,Oz(w),1.0574999999999999
NOE Tataki,1.16,Oz(w),10,LB,Octopus,1.1465,Oz(w),1.32994,Oz(w),1.32994
NOE Tataki,0.1,Oz(w),2,LB,Chives,0.5,Oz(w),0.05,Oz(w),0.05
NOE Tataki,0.07,Oz(w),7.06,Oz(w),Daikon,1.5679886685552409,Oz(w),0.10975920679886687,Oz(w),0.10975920679886687
NOE Tataki,2.11,Oz(w),1,Oz(v),Ponzu Sauce,0.216,Oz(w),0.45575999999999994,Oz(w),0.45575999999999994
NOE Tataki,1,Un,1,Un,Crunchy Vegetables,0.33,Un,0.33,Un,0.33
NOE Tataki,,,,,,-
NOE Tataki,,,,,,-
NOE Tataki,,,,,,-
NOE Tataki,,,,,,,TOTAL INGREDIENT COST,,,5.971969714045243
NOE Tataki,PROCEDURE:,,,,,,15% Q FACTOR,,,0.5971969714045243
NOE Tataki,,,,,,,RECIPE COST,,,6.569166685449767
NOE Tataki,,,,,,,PORTION COST,,,0.03421440982005087
NOE Tataki,,,,,,,ADDITIONAL COST,,,0.5
NOE Tataki,,,,,,,TOTAL COST,,,7.103381095269818
NOE Tataki,,,,,,,DESIRED FOOD COST %,,,0.3
NOE Tataki,,,,,,,DESRIRED MENU PRICE,,,23.67793698423273
NOE Tataki,,,,,,,CURRENT PRICE,,,21,26
NOE Tataki,,,,,,,VARIANCE,,,-2.67793698423273
NOE Tataki,,,,,,,ACTUAL FOOD COST,,,0.33825624263189613
