__Recipe,RECIPE NAME:,,Sea food katsura
Sea foof katsura,MENU CATEGORY:,,Main Plate,,1
Sea foof katsura,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Sea foof katsura,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Sea foof katsura,1.76,Oz(w),10,LB,Mussel,0.1654375,Oz(w),0.29117,Oz(w),0.29117
Sea foof katsura,1.05,Oz(w),10,LB,Shrimp 2125,0.39425,Oz(w),0.4139625,Oz(w),0.4139625
Sea foof katsura,1.41,Oz(w),10,LB,Octopus,1.1465,Oz(w),1.616565,Oz(w),1.616565
Sea foof katsura,3.52,Oz(w),17.25,LB,pesca blanca,0.8093840579710144,Oz(w),2.849031884057971,Oz(w),2.849031884057971
Sea foof katsura,1.06,Oz(w),6,LB,Green zucchini,0.121875,Oz(w),0.1291875,Oz(w),0.1291875
Sea foof katsura,1.06,Oz(w),1,LB,yellow zucchini,0.121875,Oz(w),0.1291875,Oz(w),0.1291875
Sea foof katsura,0.35,Oz(w),20,LB,Edamame,0.1625,Oz(w),0.056874999999999995,Oz(w),0.056874999999999995
Sea foof katsura,4.54,Oz(w),50,LB,gohan Rice,0.075,Oz(w),0.34049999999999997,Oz(w),0.34049999999999997
Sea foof katsura,0.53,Oz(w),42,LB,Tomato paste,0.07455357142857143,Oz(w),0.03951339285714286,Oz(w),0.03951339285714286
Sea foof katsura,1.76,Oz(w),1,Oz(v),lobster bisque,0.33,Oz(w),0.5808,Oz(w),0.5808
Sea foof katsura,0.07,Oz(w),2,LB,Hondashi,1.4625,Oz(w),0.10237500000000001,Oz(w),0.10237500000000001
Sea foof katsura,13.4,Oz(w),1,Oz(v),Suimono deep,0.03,Oz(w),0.40199999999999997,Oz(w),0.40199999999999997
Sea foof katsura,0.35,,1,LB,red pepper,0.203125,0,0.07109375,0,0.07109375
Sea foof katsura,0.35,,1,LB,green pepper,0.15625,0,0.0546875,0,0.0546875
Sea foof katsura,,,,,,,TOTAL INGREDIENT COST,,,7.0769490269151145
Sea foof katsura,,,,,,,15% Q FACTOR,,,0.7076949026915115
Sea foof katsura,,,,,,,RECIPE COST,,,7.784643929606626
Sea foof katsura,,,,,,,PORTION COST,,,0.04054502046670118
Sea foof katsura,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Sea foof katsura,,,,,,,TOTAL COST,,,8.325188950073327
Sea foof katsura,,,,,,,DESIRED FOOD COST %,,,0.3
Sea foof katsura,,,,,,,DESRIRED MENU PRICE,,,27.750629833577758
Sea foof katsura,,,,,,,CURRENT PRICE,,,28
Sea foof katsura,,,,,,,VARIANCE,,,0.24937016642224208
Sea foof katsura,,,,,,,ACTUAL FOOD COST,,,0.2973281767883331
